names,weights,abs_weights,norm_weights,probabilities,probabilities_new
V4,0.8295647112164766,0.8295647112164766,0.06772757846663732,2.2923207015727844,-1.2923207015727844
V22,0.7772949063652415,0.7772949063652415,0.06346015090898889,2.175579153062455,-1.175579153062455
V21,0.37990328308406046,0.37990328308406046,0.031016181217591064,1.4621431686175115,-0.4621431686175115
V28,0.3498909262833624,0.3498909262833624,0.028565903110645927,1.4189127740626424,-0.4189127740626424
V1,0.3473742207810459,0.3473742207810459,0.028360433462430532,1.4153462782691033,-0.4153462782691033
V7,0.3375783273926637,0.3375783273926637,0.02756067410774489,1.4015493838016289,-0.40154938380162886
V27,0.28493525858967406,0.28493525858967406,0.02326277241921866,1.3296759402391307,-0.3296759402391307
V5,0.20968946939761984,0.20968946939761984,0.01711953244904708,1.2332950246408134,-0.23329502464081342
V19,0.13090365484003585,0.13090365484003585,0.01068727663420894,1.1398579562243887,-0.13985795622438868
V11,0.09694190648473454,0.09694190648473454,0.007914561081705606,1.1017963645378495,-0.10179636453784946
V24,0.0513144136470637,0.0513144136470637,0.004189427213766906,1.0526538099816065,-0.052653809981606514
V18,0.048437880134454575,0.048437880134454575,0.003954580375957881,1.049630166910245,-0.04963016691024502
Time,-3.313759691456784e-05,3.313759691456784e-05,-2.705429925938026e-06,0.9999668629521296,3.3137047870446246e-05
Amount,-0.0021684522942399895,0.0021684522942399895,-0.00017703745220060853,0.9978338970999463,0.0021661029000537013
V6,-0.0782075609954808,0.0782075609954808,-0.006385045858855895,0.9247724599294616,0.07522754007053845
V13,-0.19798338111317756,0.19798338111317756,-0.016163820372457727,0.8203834868848614,0.1796165131151386
V23,-0.38516734612155934,0.38516734612155934,-0.03144595147855446,0.680336774957091,0.319663225042909
V26,-0.3944148423061566,0.3944148423061566,-0.03220093841928849,0.6740743636667547,0.32592563633324534
V15,-0.4095801916759437,0.4095801916759437,-0.03343907255822753,0.6639289145243109,0.3360710854756891
V9,-0.4860017625309632,0.4860017625309632,-0.039678306058212286,0.6150807232137537,0.38491927678624627
V2,-0.5024990333374609,0.5024990333374609,-0.041025181338615664,0.6050168117399479,0.3949831882600521
V16,-0.5052095070707956,0.5052095070707956,-0.041246470672617094,0.6033791499856984,0.3966208500143016
V3,-0.5175392358939537,0.5175392358939537,-0.042253098202756675,0.5959853242902967,0.4040146757097033
V8,-0.6516233146649467,0.6516233146649467,-0.0532000319902035,0.5211990196583819,0.4788009803416181
V17,-0.6968820750816862,0.6968820750816862,-0.056895061691903975,0.4981360357608129,0.5018639642391871
V12,-0.7607518725961263,0.7607518725961263,-0.062109539434651966,0.467314933595004,0.532685066404996
V25,-0.7802979410982697,0.7802979410982697,-0.06370532559852089,0.4582694536588396,0.5417305463411604
V10,-0.783948970715004,0.783948970715004,-0.06400340408656167,0.45659934896714266,0.5434006510328573
V14,-1.2524135977303974,1.2524135977303974,-0.1022499379085019,0.2858141233720127,0.7141858766279874
